crash_id,year,make,model,vehicle_class,test_type,mass_kg,velocity_kmh,angle_deg,a_pillar_thickness_mm,crumple_zone_length_m,yield_strength_mpa,section_height_mm,section_width_mm,hic,chest_g,intrusion_m,fatality_prob,ais_severity,crush_m,energy_absorbed_j,kinetic_energy_j,p_critical_n
NHTSA-2007-RO-0060,2007,Chevrolet,Malibu,sedan,rollover,1298.5,39.3,31.9,1.48,0.902,356.7,160.9,107.9,630.61,38.78,0.002,0.0067,1,0.1881,67314.0,77373.5,11939282.0
NHTSA-2024-SI-0061,2024,Jeep,Grand Cherokee,suv,side,1840.8,37.1,92.4,1.43,0.985,493.9,147.1,115.5,585.85,38.48,0.1651,0.1245,4,0.1559,85163.5,97750.6,21074487.9
NHTSA-2017-RO-0062,2017,Ford,F-150,truck,rollover,2666.2,30.7,33.3,1.44,0.823,441.3,163.0,127.7,338.78,32.13,0.0,0.0029,1,0.1411,82910.6,96947.0,16176687.6
NHTSA-2010-FR-0063,2010,Toyota,Tundra,truck,frontal,2540.8,47.9,10.4,1.57,0.955,444.0,161.2,124.2,810.23,39.24,0.0386,0.0086,2,0.3029,197207.6,224908.8,9864082.2
NHTSA-2022-SI-0064,2022,Hyundai,Ioniq 5,ev,side,2268.2,46.9,85.6,1.43,0.9,472.5,175.4,117.3,1006.89,38.16,0.2589,0.9097,5,0.2621,166199.6,192482.8,38490139.2
NHTSA-2009-RO-0065,2009,Tesla,Model 3,ev,rollover,2365.5,51.9,32.9,1.44,0.853,451.1,172.3,123.5,1142.64,45.41,0.0,0.02,3,0.3071,200476.4,245823.1,16739453.8
NHTSA-2012-FR-0066,2012,Chevrolet,Malibu,sedan,frontal,1553.6,47.7,13.5,1.16,0.847,499.6,147.3,111.3,739.23,35.52,0.0882,0.0118,1,0.2797,116669.1,136376.9,7014979.0
NHTSA-2018-SI-0067,2018,Toyota,Camry,sedan,side,1637.6,43.6,92.6,1.14,0.716,459.0,166.1,109.8,775.34,31.44,0.3453,0.9997,5,0.273,102687.6,120100.8,41028245.6
NHTSA-2010-FR-0068,2010,Ford,F-150,truck,frontal,2286.4,45.7,12.9,1.2,0.841,385.4,153.7,114.1,434.54,25.63,0.0658,0.0043,1,0.4012,165366.3,184225.4,8261643.4
NHTSA-2005-RO-0069,2005,Toyota,RAV4,suv,rollover,1916.3,30.1,37.8,1.12,1.019,359.4,164.6,113.9,281.59,24.46,0.0,0.0013,1,0.1927,59800.0,66982.5,7804127.3
NHTSA-2016-FR-0070,2016,Ford,Explorer,suv,frontal,2304.7,48.9,0.0,1.4,0.932,457.5,173.4,109.8,646.78,32.09,0.0324,0.004,1,0.3538,176365.8,212616.6,10105743.6
NHTSA-2018-FR-0071,2018,Chevrolet,Silverado,truck,frontal,2397.5,62.5,5.7,1.24,0.829,410.4,152.5,114.7,701.31,27.58,0.0857,0.0086,1,0.6735,330405.0,361313.1,8651464.2
NHTSA-2004-SI-0072,2004,Honda,Accord,sedan,side,1419.0,35.8,87.1,0.93,0.722,300.2,155.1,113.5,386.07,21.67,0.4107,1.0,5,0.2828,58888.0,70163.9,28805728.7
NHTSA-2021-SI-0073,2021,Tesla,Model Y,ev,side,1849.8,54.0,89.9,1.26,0.87,440.7,175.5,113.8,1304.77,39.0,0.2491,0.8538,5,0.3444,178634.0,208102.5,35727289.5
NHTSA-2021-SI-0074,2021,Ford,Explorer,suv,side,2003.3,39.0,90.7,1.09,1.003,421.5,165.6,110.9,452.54,21.99,0.2321,0.7031,5,0.2966,105038.7,117554.8,20003207.9
NHTSA-2011-SI-0075,2011,Hyundai,Sonata,sedan,side,1730.9,50.4,94.2,1.28,0.906,433.3,151.1,95.6,822.4,31.07,0.2909,0.9872,5,0.4032,142126.2,169628.2,20921513.5
NHTSA-2023-FR-0076,2023,Rivian,R1T,ev,frontal,2072.8,56.2,12.1,1.64,0.975,411.6,171.5,127.2,1204.4,44.56,0.0411,0.0215,3,0.3049,210671.1,252577.7,11596682.6
NHTSA-2008-FR-0077,2008,Chevrolet,Equinox,suv,frontal,1834.2,62.0,9.4,1.16,0.99,502.6,172.1,106.1,984.71,37.62,0.0583,0.0104,2,0.5108,231100.0,272016.4,7160941.1
NHTSA-2015-SI-0078,2015,Hyundai,Sonata,sedan,side,1290.2,45.0,88.6,1.02,0.879,339.0,143.6,114.9,674.59,27.53,0.3951,1.0,5,0.3449,90059.4,100796.9,17947342.6
NHTSA-2023-SI-0079,2023,Hyundai,Sonata,sedan,side,1565.5,42.6,92.0,1.41,0.876,469.5,143.7,107.2,767.72,34.37,0.2693,0.9494,5,0.2127,95532.2,109606.7,23617760.5
NHTSA-2023-FR-0080,2023,Chevrolet,Bolt,ev,frontal,1887.4,52.1,5.8,1.69,1.086,507.9,158.6,111.4,950.48,55.52,0.0239,0.0511,3,0.2246,167964.5,197653.5,7309848.7
NHTSA-2008-RO-0081,2008,Ford,Explorer,suv,rollover,1933.6,32.8,28.7,1.42,0.898,393.1,168.9,112.3,387.38,31.86,0.0,0.0029,1,0.1646,69718.7,80256.3,13326835.8
NHTSA-2024-RO-0082,2024,Tesla,Model Y,ev,rollover,2371.7,50.9,42.9,1.35,0.947,513.8,173.9,121.6,1052.89,42.61,0.0,0.0139,3,0.2938,199063.1,237061.1,12894962.4
NHTSA-2013-SI-0083,2013,Toyota,Camry,sedan,side,1671.0,43.4,86.2,1.17,0.833,451.8,149.3,105.0,746.62,29.36,0.279,0.972,5,0.2929,105722.0,121428.6,23485838.3
NHTSA-2009-SI-0084,2009,Ford,Mustang Mach-E,ev,side,2074.0,39.7,88.3,1.15,1.079,456.2,151.9,111.3,752.4,34.01,0.3003,0.9933,5,0.2315,106042.3,126111.5,14918243.0
NHTSA-2002-SI-0085,2002,Hyundai,Ioniq 5,ev,side,2193.3,59.0,92.7,1.31,0.999,403.1,173.9,116.5,1306.86,35.15,0.2894,0.986,5,0.4936,255032.4,294555.5,27980724.2
NHTSA-2016-RO-0086,2016,Ford,Mustang Mach-E,ev,rollover,1933.7,48.9,41.0,1.44,1.075,461.7,164.2,126.7,834.58,49.82,0.0,0.0254,3,0.2341,154833.0,178390.5,9590706.1
NHTSA-2008-SI-0087,2008,Honda,Accord,sedan,side,1512.1,53.7,87.8,1.0,0.873,460.0,146.2,107.0,1103.22,33.36,0.364,0.9999,5,0.4257,140615.2,168226.4,17696619.3
NHTSA-2001-SI-0088,2001,Tesla,Model 3,ev,side,1866.5,42.1,89.7,1.49,1.005,440.2,160.5,116.5,990.66,51.17,0.2316,0.7074,5,0.1842,109522.3,127631.3,25966041.1
NHTSA-2021-RO-0089,2021,Tesla,Model 3,ev,rollover,1853.2,30.2,35.2,1.41,0.912,538.1,160.0,129.1,301.44,49.24,0.0,0.0223,3,0.0768,56466.6,65208.0,12459453.9
NHTSA-2018-FR-0090,2018,Tesla,Model Y,ev,frontal,2245.2,51.3,5.7,1.37,0.887,442.9,151.7,120.6,897.46,36.21,0.0608,0.0088,2,0.3328,198919.5,227958.0,8521849.4
NHTSA-2013-FR-0091,2013,Toyota,RAV4,suv,frontal,2106.7,55.9,8.1,1.14,0.753,496.1,149.8,115.3,855.51,35.04,0.0676,0.0085,2,0.4286,206853.9,253975.2,9302196.4
NHTSA-2009-RO-0092,2009,Jeep,Grand Cherokee,suv,rollover,2039.3,54.4,31.3,1.37,0.937,424.6,165.1,115.2,955.2,34.7,0.0,0.0064,2,0.4241,205002.9,232832.7,11401652.9
NHTSA-2020-RO-0093,2020,Toyota,Camry,sedan,rollover,1277.0,39.2,34.4,1.05,0.803,423.3,146.0,114.3,580.37,31.7,0.0245,0.0035,1,0.2018,65057.2,75705.6,8946360.6
NHTSA-2024-RO-0094,2024,Toyota,RAV4,suv,rollover,1931.0,45.2,21.0,1.25,1.027,357.7,172.5,105.2,466.94,24.75,0.0,0.0015,1,0.3846,128208.9,152203.3,9058366.1
NHTSA-2016-SI-0095,2016,Hyundai,Ioniq 5,ev,side,2299.3,48.3,94.5,1.55,0.939,383.3,162.2,114.8,895.37,32.7,0.2064,0.4239,4,0.3283,181883.5,206945.0,31355973.4
NHTSA-2015-SI-0096,2015,Honda,Accord,sedan,side,1407.9,36.6,88.2,1.42,0.857,421.7,143.7,95.8,591.77,33.16,0.2653,0.9362,5,0.1726,62056.9,72761.1,22997373.6
NHTSA-2011-RO-0097,2011,Chevrolet,Equinox,suv,rollover,1793.5,44.1,42.9,1.32,0.804,352.0,161.1,119.9,663.98,32.31,0.0,0.0035,1,0.2883,113397.3,134568.5,14499049.3
NHTSA-2018-RO-0098,2018,Ford,Explorer,suv,rollover,2276.7,39.5,44.5,1.55,0.845,417.4,177.8,121.2,558.14,31.33,0.0,0.0029,1,0.2212,119550.5,137045.6,19470911.8
NHTSA-2001-RO-0099,2001,Hyundai,Ioniq 5,ev,rollover,2034.9,52.7,40.3,1.48,0.958,360.8,157.0,112.0,945.13,36.86,0.0,0.0074,2,0.375,184004.4,218036.6,10249508.7
NHTSA-2023-RO-0100,2023,Hyundai,Sonata,sedan,rollover,1729.2,51.5,22.6,1.27,0.95,449.5,164.6,105.1,785.81,29.58,0.0091,0.0034,1,0.3894,154036.7,176939.5,9616194.5
NHTSA-2009-FR-0101,2009,Chevrolet,Equinox,suv,frontal,2216.9,45.9,14.4,1.29,1.0,354.5,165.6,111.6,415.47,23.08,0.0419,0.0022,1,0.4285,156920.9,180192.4,7352142.9
NHTSA-2013-FR-0102,2013,Chevrolet,Malibu,sedan,frontal,1560.2,50.2,5.3,1.36,0.961,424.4,148.1,104.5,787.75,36.03,0.0663,0.0084,1,0.3276,128170.9,151688.5,6165931.8
NHTSA-2001-RO-0103,2001,Chevrolet,Bolt,ev,rollover,2281.3,31.3,35.0,1.67,0.89,381.1,153.7,126.9,369.35,43.69,0.0,0.0113,1,0.1196,74187.5,86225.6,13874242.7
NHTSA-2004-FR-0104,2004,Chevrolet,Bolt,ev,frontal,2341.1,51.0,5.7,1.26,1.04,505.6,156.0,116.8,866.12,37.91,0.0636,0.0098,2,0.333,199529.2,234922.9,5961285.9
NHTSA-2009-SI-0105,2009,Rivian,R1T,ev,side,2209.8,53.7,92.7,1.7,1.006,460.8,169.1,119.1,1462.71,51.48,0.2145,0.5365,5,0.28,208313.6,245847.9,33781532.1
NHTSA-2003-SI-0106,2003,Hyundai,Tucson,suv,side,1891.4,38.9,85.3,1.06,0.766,401.5,167.8,121.4,534.55,29.38,0.2683,0.9461,5,0.2585,93781.5,110420.0,36608164.7
NHTSA-2009-RO-0107,2009,Chevrolet,Bolt,ev,rollover,2447.2,31.8,20.3,1.27,0.943,427.7,167.7,117.5,363.13,29.71,0.0002,0.0023,1,0.1653,81910.5,95474.8,10993479.0
NHTSA-2002-FR-0108,2002,Ford,Mustang Mach-E,ev,frontal,2118.7,52.6,6.6,1.43,0.91,452.3,176.7,128.4,1044.31,47.59,0.0578,0.024,3,0.2959,198284.9,226154.9,12576669.3
NHTSA-2010-SI-0109,2010,Toyota,RAV4,suv,side,1972.2,37.5,91.7,1.46,0.878,431.2,164.4,109.8,598.01,35.8,0.1876,0.2521,4,0.2013,95068.4,106998.7,33887463.9
NHTSA-2018-RO-0110,2018,Ford,Mustang Mach-E,ev,rollover,1897.8,50.4,44.5,1.44,0.885,485.3,178.4,119.0,1081.19,42.77,0.0,0.0147,3,0.2464,163393.1,185984.4,16451106.6
NHTSA-2013-FR-0111,2013,Ford,Mustang Mach-E,ev,frontal,2330.4,56.4,7.1,1.46,0.989,367.6,160.7,113.0,710.28,31.79,0.0634,0.006,1,0.4815,244939.7,285991.9,7968194.7
NHTSA-2021-FR-0112,2021,Chevrolet,Equinox,suv,frontal,1767.7,57.9,14.8,1.06,0.855,461.2,165.6,112.5,873.46,28.49,0.0711,0.0071,2,0.4833,196616.2,228628.7,8347666.3
NHTSA-2022-RO-0113,2022,Ford,F-150,truck,rollover,2464.7,37.8,25.3,1.15,0.798,441.4,170.7,128.9,461.12,27.11,0.0044,0.0019,1,0.2376,116329.3,135866.6,15482163.3
NHTSA-2004-FR-0114,2004,Ford,Fusion,sedan,frontal,1674.4,54.0,6.2,1.18,0.739,351.1,161.1,106.5,590.86,25.47,0.1268,0.0314,1,0.5106,158237.6,188370.0,11209161.7
NHTSA-2006-SI-0115,2006,Tesla,Model Y,ev,side,1945.0,43.5,86.3,1.13,0.924,386.0,162.8,122.0,823.29,33.14,0.3012,0.9937,5,0.2834,121213.7,141991.8,25048061.1
NHTSA-2005-FR-0116,2005,Ram,1500,truck,frontal,2603.7,46.3,7.4,1.43,0.714,447.0,153.8,121.2,676.87,35.98,0.0518,0.0066,1,0.3157,189410.0,215336.6,14204568.1
NHTSA-2007-RO-0117,2007,Toyota,Tundra,truck,rollover,2387.9,52.0,22.0,1.6,0.854,492.0,163.3,122.5,1165.76,44.17,0.0,0.0187,3,0.2914,212413.7,249108.1,16228899.1
NHTSA-2010-FR-0118,2010,Toyota,Tundra,truck,frontal,2148.7,50.8,2.6,1.53,0.909,414.1,171.6,114.1,879.68,38.38,0.0334,0.0083,2,0.3287,180641.2,213928.3,11592729.5
NHTSA-2010-RO-0119,2010,Jeep,Grand Cherokee,suv,rollover,2345.5,47.1,24.2,1.44,0.932,410.9,178.2,107.3,585.86,29.17,0.0,0.0025,1,0.3774,170922.6,200743.9,13813841.2
NHTSA-2016-RO-0120,2016,Chevrolet,Malibu,sedan,rollover,1530.6,33.2,32.0,1.45,0.782,361.1,145.6,101.6,409.68,30.35,0.0,0.0025,1,0.1613,53876.3,65088.3,11818404.4
NHTSA-2015-RO-0121,2015,GMC,Sierra,truck,rollover,2654.3,32.9,28.4,1.31,0.704,387.6,184.8,125.4,341.67,27.29,0.0,0.0018,1,0.2012,95670.5,110842.6,26681970.2
NHTSA-2015-RO-0122,2015,Hyundai,Tucson,suv,rollover,2109.6,49.0,44.0,1.07,0.872,354.0,154.9,118.2,420.94,22.27,0.0,0.0012,1,0.5023,166879.1,195414.7,9075915.6
NHTSA-2024-FR-0123,2024,Honda,CR-V,suv,frontal,2017.8,55.8,14.2,1.16,0.827,494.7,178.0,107.2,725.6,30.45,0.058,0.0052,1,0.4496,203557.9,242388.2,11190514.0
NHTSA-2018-SI-0124,2018,Ford,F-150,truck,side,2018.5,50.8,89.8,1.37,0.833,428.0,154.4,129.2,1094.25,38.84,0.2502,0.86,5,0.2952,169730.3,200965.3,34261047.7
NHTSA-2017-FR-0125,2017,Ram,1500,truck,frontal,2185.9,60.4,7.2,1.75,0.77,546.9,171.6,129.5,1344.68,58.49,0.0332,0.0843,4,0.2742,257727.9,307658.7,20076703.0
NHTSA-2014-RO-0126,2014,Toyota,Tundra,truck,rollover,2256.4,33.9,23.1,1.13,0.94,469.0,169.5,118.2,388.48,26.77,0.0014,0.0017,1,0.1876,85745.9,100041.6,10162041.7
