mass_kg,velocity_kmh,angle_deg,a_pillar_thickness_mm,crumple_zone_length_m,yield_strength_mpa,section_height_mm,section_width_mm,year,vehicle_class_ev,vehicle_class_sedan,vehicle_class_suv,vehicle_class_truck,test_type_frontal,test_type_rollover,test_type_side
2265.7,56.5,14.5,1.4,1.036,484.9,148.9,113.0,2010.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1949.6,32.4,44.6,1.27,0.974,430.8,169.7,123.2,2021.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1869.0,36.5,86.9,1.58,1.013,479.2,158.7,114.8,2009.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1767.3,47.9,2.6,1.49,0.975,421.9,150.2,117.7,2018.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2281.0,59.2,92.9,1.45,0.778,485.2,170.8,126.5,2019.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
2742.3,43.4,31.1,1.55,0.978,543.5,189.2,128.9,2017.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1534.7,52.2,8.1,1.38,0.781,461.1,146.7,95.6,2009.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2141.8,40.7,26.7,1.29,0.862,427.1,164.0,122.0,2015.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
2133.2,59.1,2.5,1.37,0.902,525.1,169.2,123.2,2016.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1950.0,54.4,38.9,1.45,0.968,365.2,150.1,126.2,2010.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2202.2,45.1,5.2,1.69,0.947,506.1,186.0,118.7,2004.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
2544.6,42.4,35.0,1.74,0.864,537.7,168.0,112.1,2006.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2671.3,54.0,2.5,1.67,0.856,372.7,182.8,129.1,2009.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
2299.9,48.6,86.2,1.33,1.035,497.3,168.9,123.6,2009.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1290.6,36.4,86.8,1.31,0.887,300.8,158.6,111.4,2011.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1700.1,52.9,9.1,1.44,0.763,351.8,162.8,96.2,2016.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1313.4,42.8,87.5,1.07,0.821,469.4,141.6,106.6,2010.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2370.7,57.2,8.5,1.14,0.869,558.4,168.2,128.7,2000.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
2730.7,43.2,31.2,1.62,0.952,461.1,160.3,128.9,2018.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2408.4,46.9,41.3,1.36,0.867,353.9,177.7,110.8,2001.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2562.7,64.9,6.8,1.26,0.799,482.1,188.1,110.6,2007.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
2119.9,53.4,8.2,1.18,0.909,450.3,163.5,111.5,2015.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2520.9,49.9,2.6,1.43,0.823,426.0,183.7,121.9,2006.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
2793.3,57.3,10.7,1.11,0.853,419.2,160.8,121.3,2004.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
1298.5,39.3,31.9,1.48,0.902,356.7,160.9,107.9,2007.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1840.8,37.1,92.4,1.43,0.985,493.9,147.1,115.5,2024.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2666.2,30.7,33.3,1.44,0.823,441.3,163.0,127.7,2017.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2540.8,47.9,10.4,1.57,0.955,444.0,161.2,124.2,2010.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
2268.2,46.9,85.6,1.43,0.9,472.5,175.4,117.3,2022.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2365.5,51.9,32.9,1.44,0.853,451.1,172.3,123.5,2009.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1553.6,47.7,13.5,1.16,0.847,499.6,147.3,111.3,2012.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1637.6,43.6,92.6,1.14,0.716,459.0,166.1,109.8,2018.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2286.4,45.7,12.9,1.2,0.841,385.4,153.7,114.1,2010.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
1916.3,30.1,37.8,1.12,1.019,359.4,164.6,113.9,2005.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
2304.7,48.9,0.0,1.4,0.932,457.5,173.4,109.8,2016.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2397.5,62.5,5.7,1.24,0.829,410.4,152.5,114.7,2018.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
2003.3,39.0,90.7,1.09,1.003,421.5,165.6,110.9,2021.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1730.9,50.4,94.2,1.28,0.906,433.3,151.1,95.6,2011.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1290.2,45.0,88.6,1.02,0.879,339.0,143.6,114.9,2015.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1933.6,32.8,28.7,1.42,0.898,393.1,168.9,112.3,2008.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
2371.7,50.9,42.9,1.35,0.947,513.8,173.9,121.6,2024.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1671.0,43.4,86.2,1.17,0.833,451.8,149.3,105.0,2013.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2074.0,39.7,88.3,1.15,1.079,456.2,151.9,111.3,2009.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1933.7,48.9,41.0,1.44,1.075,461.7,164.2,126.7,2016.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1866.5,42.1,89.7,1.49,1.005,440.2,160.5,116.5,2001.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2106.7,55.9,8.1,1.14,0.753,496.1,149.8,115.3,2013.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1277.0,39.2,34.4,1.05,0.803,423.3,146.0,114.3,2020.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1931.0,45.2,21.0,1.25,1.027,357.7,172.5,105.2,2024.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
2299.3,48.3,94.5,1.55,0.939,383.3,162.2,114.8,2016.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1793.5,44.1,42.9,1.32,0.804,352.0,161.1,119.9,2011.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
2276.7,39.5,44.5,1.55,0.845,417.4,177.8,121.2,2018.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
2034.9,52.7,40.3,1.48,0.958,360.8,157.0,112.0,2001.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1729.2,51.5,22.6,1.27,0.95,449.5,164.6,105.1,2023.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2216.9,45.9,14.4,1.29,1.0,354.5,165.6,111.6,2009.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1560.2,50.2,5.3,1.36,0.961,424.4,148.1,104.5,2013.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2281.3,31.3,35.0,1.67,0.89,381.1,153.7,126.9,2001.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2341.1,51.0,5.7,1.26,1.04,505.6,156.0,116.8,2004.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2209.8,53.7,92.7,1.7,1.006,460.8,169.1,119.1,2009.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1891.4,38.9,85.3,1.06,0.766,401.5,167.8,121.4,2003.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2447.2,31.8,20.3,1.27,0.943,427.7,167.7,117.5,2009.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1972.2,37.5,91.7,1.46,0.878,431.2,164.4,109.8,2010.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1767.7,57.9,14.8,1.06,0.855,461.2,165.6,112.5,2021.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1674.4,54.0,6.2,1.18,0.739,351.1,161.1,106.5,2004.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1945.0,43.5,86.3,1.13,0.924,386.0,162.8,122.0,2006.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2148.7,50.8,2.6,1.53,0.909,414.1,171.6,114.1,2010.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
2654.3,32.9,28.4,1.31,0.704,387.6,184.8,125.4,2015.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2109.6,49.0,44.0,1.07,0.872,354.0,154.9,118.2,2015.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
2017.8,55.8,14.2,1.16,0.827,494.7,178.0,107.2,2024.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2018.5,50.8,89.8,1.37,0.833,428.0,154.4,129.2,2018.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
2185.9,60.4,7.2,1.75,0.77,546.9,171.6,129.5,2017.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
2256.4,33.9,23.1,1.13,0.94,469.0,169.5,118.2,2014.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1494.2,47.3,90.4,1.19,0.741,326.6,168.3,102.6,2014.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1482.6,54.1,34.0,0.93,0.865,323.5,141.8,112.9,2014.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1639.1,42.5,90.8,1.1,0.967,469.8,159.5,112.1,2014.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1788.6,52.9,5.8,1.36,1.046,476.3,157.5,106.1,2005.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1696.9,43.6,20.5,1.24,0.973,324.7,140.5,95.5,2017.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2308.5,35.7,85.4,1.28,0.793,457.2,164.4,122.8,2011.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
2289.8,40.0,87.7,1.2,0.744,421.4,150.1,115.1,2024.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1309.8,51.4,3.4,1.03,0.704,334.9,148.3,104.6,2016.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2199.1,42.5,23.5,1.49,1.072,354.3,178.1,115.8,2004.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1422.5,51.9,8.7,1.42,0.902,433.7,146.9,106.4,2002.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1811.0,35.6,35.7,1.52,0.989,395.2,174.6,105.8,2011.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
2311.7,47.3,42.1,1.46,0.901,506.7,153.4,112.5,2009.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2333.3,63.2,7.8,1.43,0.959,353.3,178.3,122.5,2023.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2339.8,47.5,8.7,1.58,1.056,371.3,154.7,127.9,2020.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1929.3,62.4,9.6,1.49,0.891,507.7,154.5,114.6,2002.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2469.9,59.6,8.7,1.56,0.894,441.5,154.7,128.5,2017.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2298.2,45.3,90.8,1.09,0.927,394.3,146.0,115.9,2023.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1507.9,32.4,44.5,1.49,0.756,382.5,141.5,98.8,2007.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1865.9,37.0,92.1,1.46,1.091,507.4,159.0,115.0,2000.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1968.2,58.5,94.6,1.14,1.01,462.7,179.9,120.9,2011.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2088.0,41.2,34.7,1.33,0.855,351.5,146.0,112.4,2022.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1627.2,49.5,14.6,1.04,0.774,326.1,154.7,107.1,2018.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1392.3,45.2,32.9,0.91,0.874,406.3,154.6,95.6,2004.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1880.5,52.5,38.8,1.27,1.016,365.8,146.6,115.1,2018.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
2124.3,50.1,85.5,1.19,1.033,433.2,160.8,128.5,2021.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1820.1,63.1,6.6,1.19,0.802,377.3,166.5,108.6,2013.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2318.5,36.9,34.3,1.07,1.046,452.3,145.5,112.4,2024.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
2468.5,39.3,20.5,1.43,0.881,389.0,175.8,123.6,2015.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1675.0,34.9,27.5,1.46,0.924,410.0,155.8,95.2,2000.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2186.1,49.8,41.1,1.39,0.819,476.3,177.3,126.1,2018.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2292.0,53.4,94.6,1.56,0.865,430.8,150.2,129.1,2020.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
2346.2,30.6,28.6,1.55,1.023,345.6,175.0,118.1,2004.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
2120.3,53.4,86.2,1.27,0.756,468.2,152.4,116.0,2008.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1505.7,38.4,36.1,1.31,0.76,484.0,150.8,114.5,2013.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2337.1,38.2,44.5,1.37,0.846,383.3,149.5,121.4,2007.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1745.6,42.0,27.3,1.25,0.998,354.1,148.5,113.2,2014.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1873.5,47.9,0.3,1.41,1.005,414.4,149.0,113.2,2018.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2203.3,56.8,88.4,1.41,1.024,433.2,164.3,125.7,2008.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1547.5,42.1,42.0,1.4,0.91,492.8,163.0,96.0,2001.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1854.1,45.4,93.3,1.39,0.896,466.3,178.1,118.9,2010.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2094.4,53.0,8.1,1.33,0.865,478.8,176.1,124.9,2008.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
1708.2,55.2,9.8,1.5,0.871,336.4,152.6,97.7,2023.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2349.2,50.9,24.3,1.23,1.032,350.9,165.4,114.9,2012.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
2489.4,56.5,13.5,1.55,0.782,445.6,163.3,114.6,2001.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
2001.4,43.3,24.9,1.57,0.957,534.4,151.4,125.8,2022.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1493.1,60.7,14.9,1.24,0.879,491.1,163.1,95.6,2024.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2435.7,54.5,90.9,1.55,0.899,425.1,171.4,124.6,2015.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2206.1,35.3,86.7,1.49,0.964,447.2,187.1,118.3,2001.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
2425.2,58.3,9.6,1.69,0.885,386.4,172.1,111.4,2011.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2397.6,39.7,40.5,1.62,0.88,444.3,182.0,119.3,2022.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2006.3,49.1,86.2,1.51,0.915,489.2,177.1,122.6,2005.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1597.5,47.4,13.4,1.23,0.904,324.8,142.5,112.8,2003.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1961.6,39.0,93.1,1.45,0.951,355.1,156.5,121.6,2002.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2125.4,54.1,39.6,1.26,0.946,415.3,179.0,117.9,2006.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2124.0,52.6,91.9,1.13,1.03,448.7,156.2,115.0,2011.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2405.7,46.1,2.9,1.61,0.854,382.9,189.0,127.1,2015.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
1604.2,54.9,93.6,0.91,0.999,335.4,143.3,105.8,2024.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1359.0,50.3,9.1,0.9,0.771,438.4,149.1,112.5,2014.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2296.1,47.0,24.6,1.14,0.967,370.7,176.1,112.3,2012.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2707.0,59.3,10.0,1.54,0.785,430.9,153.7,125.7,2014.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
2156.3,46.9,41.7,1.52,0.956,409.5,157.2,122.3,2005.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1506.6,50.0,92.6,1.16,0.958,499.1,169.9,107.6,2023.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1666.3,33.7,24.8,1.46,0.968,420.8,144.9,104.4,2023.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2156.4,52.8,39.2,1.69,0.808,372.4,152.9,121.6,2013.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2146.4,37.2,92.9,1.55,0.766,381.8,169.1,129.2,2003.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
2143.2,40.4,44.5,1.04,0.908,400.7,158.4,111.1,2003.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1590.2,64.2,4.7,1.08,0.999,367.4,160.4,111.8,2005.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1460.3,57.3,6.3,1.45,0.707,352.6,153.1,113.6,2000.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2340.6,41.3,90.4,1.02,0.823,425.4,177.9,115.3,2013.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1546.1,41.1,94.9,1.1,0.738,330.8,160.8,108.6,2014.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1623.0,38.9,31.6,1.18,0.734,481.2,142.0,108.8,2002.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2157.6,38.2,90.1,1.38,0.938,389.9,150.7,121.3,2003.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2186.6,35.9,94.2,1.58,0.827,522.5,182.5,121.4,2012.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1729.0,50.5,13.7,1.43,0.943,471.9,165.3,114.6,2023.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2404.2,36.2,93.5,1.28,0.9,356.7,161.8,127.4,2019.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2371.0,40.5,94.0,1.51,0.882,361.4,160.3,128.9,2016.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
2265.6,42.9,34.4,1.33,0.899,382.7,154.3,116.7,2007.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1619.5,57.3,12.0,1.48,0.833,405.0,150.9,95.7,2021.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1863.7,43.4,30.9,1.58,0.82,406.7,172.4,108.9,2006.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1345.2,33.0,28.2,1.37,0.993,353.2,164.0,112.4,2021.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1326.3,49.1,9.8,1.32,0.866,341.4,155.8,109.0,2009.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1869.2,59.7,92.7,1.41,1.02,359.2,162.8,127.2,2003.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1539.8,52.5,13.1,1.15,0.974,403.3,163.9,104.4,2016.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1558.0,52.7,90.2,1.3,0.846,344.3,150.7,112.2,2005.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2171.7,40.9,26.1,1.21,0.837,413.2,148.4,110.9,2019.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1980.2,51.5,87.2,1.06,0.956,393.3,171.4,112.9,2012.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2592.0,32.5,37.6,1.43,0.775,547.1,155.7,129.6,2000.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1900.2,51.7,21.1,1.17,0.777,496.9,150.8,111.1,2015.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
2491.4,60.9,1.9,1.25,0.947,458.2,151.8,121.3,2021.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2177.9,49.8,94.0,1.47,1.043,494.4,167.0,123.6,2016.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2680.8,47.5,39.0,1.44,0.713,397.6,159.4,127.4,2022.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2014.0,51.8,89.6,1.22,0.95,450.0,168.1,128.7,2010.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2237.3,60.4,8.9,1.18,1.061,435.1,163.9,114.2,2020.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1504.6,52.4,87.8,1.24,0.962,496.6,160.4,109.7,2001.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2135.4,59.8,9.1,1.5,0.83,448.3,153.9,120.9,2005.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2381.1,59.9,88.3,1.42,0.999,512.7,157.2,121.5,2019.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1637.8,64.9,5.2,1.21,0.729,499.8,148.8,101.7,2016.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2436.5,43.4,33.5,1.44,1.046,451.5,176.0,127.1,2002.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1367.6,55.5,10.3,1.12,0.717,391.3,153.1,95.2,2004.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1995.2,48.6,92.7,1.66,0.981,504.1,156.9,129.1,2004.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2075.2,43.7,20.3,1.56,0.878,376.1,168.2,125.1,2003.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1415.7,40.4,86.8,1.48,0.796,492.8,146.1,113.9,2017.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2178.1,46.5,21.3,1.4,0.95,463.7,169.6,123.2,2021.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2407.6,36.2,91.6,1.51,0.838,374.3,159.7,111.5,2008.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1994.2,57.8,85.9,1.16,1.053,392.9,179.3,110.1,2000.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2000.2,44.2,93.7,1.7,0.811,417.8,174.7,114.9,2010.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1595.1,50.9,6.0,1.07,0.965,316.0,146.8,108.2,2008.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1817.4,59.6,14.6,1.27,0.994,412.4,173.8,126.3,2007.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2192.9,40.3,23.4,1.12,0.879,459.3,161.2,123.9,2007.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2388.6,54.4,90.3,1.59,1.09,515.3,151.0,110.8,2008.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1992.5,53.2,44.3,1.3,0.792,403.6,174.2,124.1,2011.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1458.3,53.7,36.0,1.17,0.811,412.9,164.6,97.4,2003.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2707.6,61.0,13.2,1.15,0.729,476.8,150.7,118.1,2001.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
2012.6,32.7,34.5,1.22,0.921,433.5,154.4,114.6,2002.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
