hic,chest_g,intrusion_m,fatality_prob,crush_m
508.26,27.38,0.0993,0.0124,0.6568
630.61,38.78,0.002,0.0067,0.1881
585.85,38.48,0.1651,0.1245,0.1559
338.78,32.13,0.0,0.0029,0.1411
810.23,39.24,0.0386,0.0086,0.3029
1006.89,38.16,0.2589,0.9097,0.2621
1142.64,45.41,0.0,0.02,0.3071
739.23,35.52,0.0882,0.0118,0.2797
775.34,31.44,0.3453,0.9997,0.273
434.54,25.63,0.0658,0.0043,0.4012
281.59,24.46,0.0,0.0013,0.1927
646.78,32.09,0.0324,0.004,0.3538
701.31,27.58,0.0857,0.0086,0.6735
452.54,21.99,0.2321,0.7031,0.2966
822.4,31.07,0.2909,0.9872,0.4032
674.59,27.53,0.3951,1.0,0.3449
387.38,31.86,0.0,0.0029,0.1646
1052.89,42.61,0.0,0.0139,0.2938
746.62,29.36,0.279,0.972,0.2929
752.4,34.01,0.3003,0.9933,0.2315
834.58,49.82,0.0,0.0254,0.2341
990.66,51.17,0.2316,0.7074,0.1842
855.51,35.04,0.0676,0.0085,0.4286
580.37,31.7,0.0245,0.0035,0.2018
466.94,24.75,0.0,0.0015,0.3846
895.37,32.7,0.2064,0.4239,0.3283
663.98,32.31,0.0,0.0035,0.2883
558.14,31.33,0.0,0.0029,0.2212
945.13,36.86,0.0,0.0074,0.375
785.81,29.58,0.0091,0.0034,0.3894
415.47,23.08,0.0419,0.0022,0.4285
787.75,36.03,0.0663,0.0084,0.3276
369.35,43.69,0.0,0.0113,0.1196
866.12,37.91,0.0636,0.0098,0.333
1462.71,51.48,0.2145,0.5365,0.28
534.55,29.38,0.2683,0.9461,0.2585
363.13,29.71,0.0002,0.0023,0.1653
598.01,35.8,0.1876,0.2521,0.2013
873.46,28.49,0.0711,0.0071,0.4833
590.86,25.47,0.1268,0.0314,0.5106
823.29,33.14,0.3012,0.9937,0.2834
879.68,38.38,0.0334,0.0083,0.3287
341.67,27.29,0.0,0.0018,0.2012
420.94,22.27,0.0,0.0012,0.5023
725.6,30.45,0.058,0.0052,0.4496
1094.25,38.84,0.2502,0.86,0.2952
1344.68,58.49,0.0332,0.0843,0.2742
388.48,26.77,0.0014,0.0017,0.1876
648.79,22.99,0.3193,0.9983,0.4048
490.78,21.93,0.031,0.0018,0.5966
695.62,29.62,0.3416,0.9997,0.2705
954.64,39.02,0.0275,0.0094,0.3388
373.43,21.26,0.0047,0.0011,0.4155
512.21,36.72,0.2575,0.9021,0.1836
556.12,26.88,0.2476,0.8406,0.2685
541.27,22.72,0.1329,0.0385,0.4639
711.26,36.23,0.0,0.0054,0.2607
1112.89,44.55,0.0567,0.0197,0.2958
455.22,35.9,0.0,0.0046,0.1704
945.55,41.43,0.0,0.011,0.2779
817.14,32.53,0.0686,0.0074,0.5695
743.43,36.74,0.0432,0.0068,0.2867
1436.5,44.99,0.0385,0.0368,0.4162
1075.62,43.5,0.0595,0.0176,0.3995
537.29,22.38,0.2502,0.8592,0.4333
378.54,36.27,0.0,0.0047,0.1484
647.07,51.67,0.2418,0.8009,0.133
1276.97,36.15,0.238,0.7649,0.4785
464.32,23.95,0.0,0.0014,0.3061
361.69,23.2,0.1364,0.0435,0.5047
490.64,24.62,0.0227,0.0019,0.4002
725.04,28.9,0.0,0.0029,0.443
954.26,37.07,0.3131,0.9973,0.3174
648.48,27.25,0.0862,0.0085,0.6416
331.64,23.49,0.0,0.0012,0.2731
551.55,31.75,0.0,0.0031,0.2336
456.75,29.86,0.0,0.0024,0.1955
1038.06,40.86,0.0,0.0118,0.2822
1190.71,39.27,0.2108,0.4763,0.3201
302.17,27.6,0.0,0.0018,0.1721
1096.47,33.16,0.2171,0.5424,0.3998
539.09,42.84,0.0116,0.0105,0.1605
449.04,30.26,0.0,0.0025,0.2449
520.79,25.59,0.0126,0.0019,0.3167
673.42,33.6,0.0292,0.0045,0.3013
1463.76,39.5,0.2828,0.9787,0.3816
756.62,41.51,0.0,0.0096,0.2203
1052.55,40.68,0.2209,0.5863,0.2399
1060.64,43.91,0.0566,0.0176,0.3098
583.33,23.72,0.0848,0.0075,0.5243
450.92,21.8,0.0,0.0012,0.5523
1011.82,41.21,0.0472,0.0129,0.4159
714.72,49.12,0.0,0.0227,0.1682
987.0,32.76,0.0817,0.0113,0.4569
1254.09,37.6,0.2282,0.667,0.3691
603.88,42.67,0.215,0.5198,0.1555
938.51,37.92,0.0436,0.009,0.4413
568.16,33.21,0.0,0.0036,0.2065
1059.75,48.9,0.2157,0.5349,0.2492
513.97,24.39,0.0946,0.0102,0.3997
611.85,33.82,0.2044,0.4026,0.2285
1103.58,37.35,0.0008,0.0104,0.38
1013.57,33.49,0.2899,0.9863,0.4042
605.95,34.53,0.0352,0.0049,0.2915
420.78,18.23,0.4023,1.0,0.6888
755.74,29.48,0.1508,0.0747,0.3829
528.31,24.07,0.0,0.0015,0.4402
828.48,34.55,0.0696,0.0084,0.482
852.77,39.35,0.0,0.0082,0.2694
983.73,32.72,0.3359,0.9995,0.3087
397.04,32.82,0.0011,0.0032,0.1592
1054.55,39.88,0.0,0.0112,0.3367
683.02,43.26,0.2344,0.7297,0.1724
425.15,26.54,0.0,0.0017,0.3435
705.37,25.69,0.1492,0.0697,0.713
1141.46,40.48,0.1042,0.0261,0.4061
471.0,23.24,0.2877,0.984,0.3531
522.09,22.42,0.3246,0.9988,0.3327
568.35,31.81,0.0154,0.0033,0.2119
608.96,30.52,0.2031,0.3883,0.2335
575.06,48.69,0.1867,0.2582,0.1298
869.04,37.54,0.0659,0.0098,0.2886
480.65,26.17,0.2853,0.9813,0.2282
687.3,30.48,0.2305,0.6875,0.2446
731.56,36.38,0.0,0.0055,0.2762
832.68,30.93,0.071,0.0074,0.4453
755.08,37.95,0.0,0.0066,0.2401
396.32,32.06,0.0086,0.003,0.1425
789.97,33.33,0.0711,0.0078,0.3238
1525.0,42.71,0.2579,0.9082,0.4283
643.45,28.09,0.0901,0.0097,0.444
1025.03,30.79,0.323,0.9987,0.4395
536.61,27.35,0.0,0.002,0.2888
681.89,28.63,0.2331,0.7135,0.4901
430.87,44.44,0.0,0.0124,0.1299
785.48,33.77,0.0,0.0046,0.3615
933.09,33.67,0.0945,0.0143,0.5202
1147.0,41.0,0.2228,0.6088,0.2899
661.22,30.01,0.0,0.0029,0.346
1138.02,42.29,0.316,0.9978,0.3119
717.78,30.15,0.0797,0.0079,0.5628
1407.46,45.41,0.3499,0.9998,0.3062
1201.63,47.52,0.0471,0.0272,0.4157
1708.25,46.98,0.2346,0.7532,0.3665
1179.1,38.74,0.1228,0.0385,0.5273
831.25,36.25,0.0,0.006,0.2344
769.03,30.07,0.1267,0.0328,0.4747
1297.63,60.54,0.234,0.75,0.188
786.34,42.48,0.0,0.0108,0.2262
671.17,48.02,0.2908,0.9873,0.1504
984.51,43.4,0.0,0.0138,0.246
500.34,27.47,0.2057,0.4145,0.2268
1066.61,35.47,0.2852,0.9812,0.5244
993.43,43.22,0.1781,0.1951,0.2095
399.04,22.66,0.1132,0.0189,0.5236
1299.41,44.57,0.0827,0.0303,0.3952
575.78,32.81,0.0042,0.0035,0.247
1389.09,48.33,0.1983,0.3653,0.3124
1006.34,34.35,0.0,0.007,0.3951
960.1,31.68,0.0095,0.0055,0.4378
748.51,28.17,0.1177,0.0238,0.6233
411.54,35.67,0.0012,0.0044,0.1516
789.27,28.72,0.2472,0.8384,0.6333
724.67,34.44,0.0,0.0046,0.233
996.73,40.27,0.001,0.0105,0.3131
991.39,39.18,0.2038,0.4003,0.2943
598.04,29.82,0.2293,0.6745,0.2627
601.16,25.97,0.0729,0.0056,0.7368
448.93,39.75,0.0,0.0071,0.132
1335.05,49.55,0.0265,0.038,0.3098
470.04,40.44,0.0,0.0077,0.1697
638.27,26.57,0.3708,1.0,0.2896
912.18,43.96,0.0,0.0137,0.2642
1226.96,36.71,0.3172,0.998,0.3582
858.85,42.32,0.009,0.0112,0.2482
599.49,31.74,0.0581,0.0052,0.3982
560.57,28.53,0.0378,0.0031,0.3023
985.19,41.2,0.0641,0.0138,0.4636
731.73,23.96,0.3513,0.9998,0.5097
787.63,34.39,0.0631,0.0073,0.3407
642.14,21.81,0.3417,0.9997,0.5744
264.24,23.05,0.0,0.0011,0.2044
468.19,26.73,0.0527,0.0034,0.5502
1243.44,40.86,0.2584,0.9079,0.3781
1248.34,39.84,0.0,0.017,0.325
530.08,28.34,0.1108,0.0183,0.6488
447.41,22.86,0.0,0.0013,0.4694
639.79,24.78,0.0327,0.0025,0.5182
453.19,27.13,0.0,0.0018,0.2337
749.72,40.31,0.0565,0.0102,0.2294
1431.37,45.56,0.2359,0.75,0.3172
1073.46,38.56,0.0687,0.0136,0.4374
586.58,31.88,0.003,0.0032,0.2832
1308.4,43.6,0.0351,0.0247,0.4074
984.72,46.64,0.2364,0.7509,0.2281
1034.03,36.24,0.0499,0.0097,0.4867
1198.58,40.6,0.0434,0.0167,0.3641
416.17,42.92,0.004,0.0104,0.1388
882.32,25.64,0.3986,1.0,0.525
446.25,34.06,0.0,0.0037,0.1812
437.21,33.15,0.0,0.0033,0.2028
341.94,23.91,0.0804,0.0063,0.5027
893.9,24.85,0.3714,1.0,0.5808
882.21,30.88,0.3158,0.9978,0.3481
553.03,30.47,0.1065,0.0164,0.3775
1454.77,46.43,0.0398,0.0413,0.4318
1055.35,46.1,0.2788,0.9721,0.2582
494.36,53.0,1e-04,0.0357,0.1261
1157.08,36.77,0.1826,0.2216,0.3361
841.25,43.94,0.2187,0.5623,0.1796
731.36,31.37,0.1032,0.0156,0.4044
565.28,44.85,0.0,0.0133,0.1641
1576.01,60.19,0.0558,0.1257,0.3216
345.78,20.8,0.101,0.0121,0.6577
903.86,32.62,0.0043,0.0051,0.3668
683.37,27.84,0.0127,0.0026,0.4592
1043.95,35.28,0.1817,0.2132,0.4238
743.09,29.84,0.0421,0.0041,0.621
505.28,25.86,0.0,0.0017,0.4459
856.87,40.64,0.0,0.0094,0.2169
729.62,30.21,0.4065,1.0,0.2484
575.49,27.38,0.2498,0.8565,0.2831
491.85,19.91,0.0122,0.0013,0.3198
501.41,33.33,0.0063,0.0036,0.1745
860.38,30.48,0.0456,0.0052,0.4419
1156.24,39.24,0.0708,0.0164,0.3798
894.31,35.11,0.2218,0.5943,0.3172
1070.68,47.89,0.0328,0.0238,0.2595
782.31,27.47,0.3403,0.9996,0.4382
1602.84,41.09,0.2929,0.9894,0.3997
975.17,36.23,0.2397,0.778,0.3797
357.54,32.65,0.0,0.0031,0.1345
1101.99,28.55,0.3774,1.0,0.5287
1208.71,43.76,0.0553,0.0213,0.4367
843.29,39.63,0.049,0.0097,0.3012
874.53,38.05,0.0339,0.0081,0.2795
602.73,22.59,0.2624,0.9245,0.556
572.64,28.53,0.0,0.0023,0.3077
394.95,37.3,0.0072,0.0054,0.1559
456.4,30.87,0.0,0.0027,0.1972
568.33,30.43,0.0,0.0027,0.2736
974.78,37.37,0.0484,0.0094,0.3188
1121.36,40.5,0.0706,0.0165,0.3832
1013.38,47.81,0.2127,0.5005,0.2045
416.3,27.39,0.0,0.0018,0.1899
1221.5,41.54,0.2769,0.9685,0.3527
859.4,39.25,0.0292,0.0087,0.3315
988.36,38.49,0.1847,0.2347,0.2836
329.93,30.26,0.0,0.0024,0.152
583.58,33.07,0.1739,0.1631,0.1551
504.93,40.51,0.0,0.0078,0.1593
869.42,34.74,0.0647,0.0082,0.4548
763.61,37.59,0.008,0.0065,0.2055
1484.62,45.49,0.1974,0.3603,0.4064
406.3,38.61,0.0079,0.0063,0.1448
525.51,36.93,0.0396,0.0061,0.3184
633.96,22.48,0.2907,0.9869,0.5485
539.85,40.34,0.2642,0.9322,0.1665
735.7,32.46,0.1004,0.0147,0.4686
1135.35,47.26,0.0628,0.0257,0.3894
905.59,32.53,0.2407,0.7864,0.2335
1362.22,46.89,0.0,0.0331,0.2706
658.58,68.02,0.1737,0.3344,0.1172
931.59,42.79,0.0285,0.0128,0.2701
644.53,32.59,0.2884,0.9848,0.2185
621.35,33.95,0.2417,0.7948,0.2093
664.78,39.54,0.0,0.0074,0.2009
663.6,35.31,0.0,0.0047,0.2555
1016.55,36.0,0.0,0.0079,0.3235
671.85,26.09,0.1218,0.0266,0.5485
845.58,39.94,0.0,0.0086,0.2548
352.76,19.19,0.397,1.0,0.3227
555.46,27.49,0.078,0.0066,0.3788
776.11,32.9,0.0381,0.005,0.418
889.39,28.93,0.289,0.9854,0.3695
1580.52,41.05,0.2533,0.8848,0.3638
669.02,33.97,0.0008,0.0042,0.2794
799.92,45.32,0.251,0.8662,0.1827
521.26,35.07,0.0,0.0043,0.182
510.34,37.77,0.0,0.0057,0.2068
1009.25,31.04,0.0721,0.0094,0.5862
547.55,25.12,0.0,0.0017,0.432
658.72,40.7,0.0283,0.0089,0.2736
1048.79,37.5,0.2632,0.9284,0.4045
614.22,40.05,0.2249,0.6282,0.1687
1456.38,54.68,0.1923,0.335,0.2387
600.85,28.36,0.0,0.0023,0.3779
370.02,22.69,0.0174,0.0014,0.2667
1060.68,40.39,0.1907,0.2818,0.2921
353.38,33.45,0.0,0.0034,0.1529
412.86,36.99,0.0055,0.0052,0.1282
1336.1,36.72,0.0877,0.0261,0.4849
535.42,31.26,0.0,0.0029,0.3174
514.95,29.29,0.0597,0.0045,0.3727
482.45,62.89,0.0,0.1171,0.0985
815.89,34.8,0.057,0.0071,0.3038
1305.91,50.75,0.0241,0.0398,0.2863
510.93,25.13,0.0,0.0016,0.41
828.57,32.92,0.0368,0.0053,0.4135
561.06,28.98,0.2863,0.9825,0.3018
695.27,32.22,0.016,0.0038,0.3079
919.35,49.6,0.0,0.0254,0.2064
937.39,51.91,0.0,0.0333,0.2092
423.53,26.2,0.0715,0.0051,0.3895
639.41,28.45,0.2623,0.9242,0.4003
791.18,48.16,0.0367,0.0214,0.2103
417.45,38.92,0.0,0.0064,0.1468
904.45,34.87,0.0795,0.0107,0.4348
811.53,30.75,0.0,0.0038,0.3548
731.55,44.82,0.2272,0.6562,0.1652
939.47,40.94,0.0754,0.0145,0.2762
732.26,48.86,0.2891,0.9858,0.1744
549.75,28.54,0.0253,0.0027,0.2411
651.87,33.15,0.0487,0.0051,0.2983
813.55,40.36,0.0546,0.0105,0.2312
532.93,29.58,0.0369,0.0032,0.3819
919.05,49.25,0.1935,0.3136,0.1753
372.98,26.16,0.0064,0.0017,0.2278
1204.73,47.91,0.0839,0.0325,0.4182
293.43,23.33,0.0,0.0012,0.1835
706.23,31.52,0.0635,0.0059,0.4605
925.54,33.83,0.2313,0.6966,0.3354
705.66,33.87,0.0,0.0042,0.288
522.79,31.57,0.0,0.003,0.2197
1122.58,39.86,0.0,0.0127,0.2841
562.95,31.98,0.0286,0.0036,0.3203
662.01,37.37,0.0037,0.0059,0.2118
611.4,29.93,0.0,0.0027,0.2435
494.61,27.59,0.0212,0.0023,0.3515
860.93,35.92,0.0101,0.0062,0.2854
930.53,36.16,0.1848,0.2331,0.3314
522.4,20.63,0.2432,0.8063,0.8611
814.38,41.16,0.0,0.0096,0.2555
315.6,22.91,0.0179,0.0014,0.1686
562.3,30.86,0.3952,1.0,0.2156
1465.02,37.91,0.2845,0.9809,0.3578
1660.32,40.79,0.1613,0.1658,0.4153
764.51,33.93,0.0408,0.0054,0.4874
542.68,36.74,0.0,0.0052,0.1785
429.04,42.89,0.0105,0.0104,0.1346
511.06,21.77,0.2198,0.5692,0.4156
455.36,38.95,0.0047,0.0065,0.1461
438.8,23.57,0.0,0.0013,0.4149
905.12,43.42,0.2691,0.9492,0.2058
